unique_id,caller_id,caller_imei,callee_id,callee_imei,call_start_time,call_end_time,call_duration,call_type,call_result,cell_id,caller_imsi,callee_imsi,service_type,longitudine,latitudine
a2d0a7e5-748f-4b5c-94af-da046bd911f5,b,772292192008610,+4073443460,819577899071605,2024-01-23 16:24:29,2024-01-23 16:25:23,54,outbound,answered,3353987,130303381971953,444367025806923,voice,26.651115,46.963806
f9ca8f48-a06f-4fdd-924f-f565e63300de,a,579454408461604,+4073602391,910015988859833,2024-01-12 18:26:35,2024-01-12 18:27:05,30,outbound,answered,1131459,132270087339015,664105367279761,voice,26.705703735352,46.960372924805
ac24c583-f5a8-496a-8842-efd7c38659b1,a,111177291089730,+4073626356,180934393871382,2024-02-17 15:32:48,2024-02-17 15:33:51,63,outbound,answered,1145934,859617379206169,729670336778178,voice,26.728135,46.971818
282acdbe-c7ae-44ea-90bd-3e4f0a0a1c71,b,570034109367422,+4073289935,317090156185867,2023-12-30 18:53:27,2023-12-30 18:54:10,43,inbound,answered,14116,162645955378793,000117390806986,voice,26.726441,46.965535
1ad87a32-1c1b-464e-86cb-cd5bff2fd258,b,595326605779665,+4073640108,379853803104447,2024-01-26 07:55:43,2024-01-26 07:56:00,17,outbound,answered,46500928,293611443008159,394458117407502,voice,26.653112,46.96088
8b7d24ea-d234-4f42-818a-b635def863d6,b,124810165667145,+4073993605,835880036282924,2024-01-17 07:59:00,2024-01-17 07:59:02,2,outbound,answered,1128228,485834864724763,109527581154149,voice,26.701583862305,46.960372924805
1bd82f6c-846d-43ce-be72-b5ad83569617,c,232146663603672,+4073766314,303027460160795,2024-02-16 10:48:42,2024-02-16 10:48:45,3,inbound,answered,14114,162173281212593,918703905401598,voice,26.686821,46.960373
97bc568f-3fd1-4c61-a4de-42d7e5b40b2f,a,259722218433855,+4073423013,860190777986908,2023-12-13 15:31:32,2023-12-13 15:31:38,6,outbound,answered,46501828,760355017884970,172132237259401,voice,26.724325,46.963288
bd45270d-b177-4f80-9718-d3a9052af60e,e,924904096972364,+4073880133,822633259435200,2024-01-12 14:23:11,2024-01-12 14:23:27,16,outbound,answered,1128228,534523770228330,343541504238768,voice,26.701583862305,46.960372924805
951f430a-a6a4-43c5-be44-f1a82e2ba21e,b,849539047441041,+4073712870,429240492734180,2024-02-09 12:18:08,2024-02-09 12:18:41,33,inbound,answered,46500925,796658461777711,830163101483130,voice,26.694677,46.96064
8e6d2d84-35d7-4c4f-a58b-e5bf4dc6a528,c,870990975872644,+4073773147,004278032283489,2023-12-29 10:38:04,2023-12-29 10:38:25,21,outbound,answered,31822,474704517384408,517863405263086,voice,26.700210571289,46.989212036133
4fbcfcec-65ba-43e8-9ee1-69cfe17ec972,c,580735709512245,+4073236755,531286254751783,2024-03-05 14:50:28,2024-03-05 14:51:37,69,inbound,answered,3353987,738452594549748,386289400685276,voice,26.651115,46.963806
43ba57b0-2443-4ace-a3bc-7b37e07ae26e,b,385608889453647,+4073721212,641569101989074,2024-01-25 14:19:31,2024-01-25 14:20:17,46,inbound,answered,46581634,297176442320779,314667487311528,voice,26.724525,46.96397
